size,brand,dominant_material,actual_color,product_type,body,product_details,type,variant_price,variant_compare_at_price,ideal_for,is_in_stock
2-3Y,BownBee,Cotton,Brown,Kurta with Pyjamas,"Brown and off-white printed kurta with pyjamasBrown printed straight knee length kurta, has a mandarin collar, long sleeves, straight hem, side slitsOff-white Solid pyjamas, has elasticated waistband, drawstring closure
This ethnic piece is perfect for when you take your little boy . Team this set with mojaris for a complete look.
Top fabric: Pure Cotton Bottom fabric: Pure Cotton Dry-clean","Brown and off-white printed kurta with pyjamasBrown printed straight knee length kurta, has a mandarin collar, long sleeves, straight hem, side slitsOff-white Solid pyjamas, has elasticated waistband, drawstring closure",Clothing/Boys/Kurta Sets/BownBee/More by BownBee,559,1599,Boys,In Stock
M,Anouk,acrylic,Yellow | Brown | Mustard,Sweater,"Mustard yellow and brown colourblocked sweater, has a round neck, long sleeves, ribbed hem
The model (height 5'8"") is wearing a size S
This snug and fashionable Anouk sweater is a must-have for any fashionista.  You can layer this mustard piece with a parka when you're going for a walk around town.
100% acrylic  Machine-wash cold","Mustard yellow and brown colourblocked sweater, has a round neck, long sleeves, ribbed hem",Clothing/Women/Sweaters/Anouk/More by Anouk,519,1299,Women,Out of Stock
28,Naari,Viscose Rayon,Orange,Printed Palazzos,"A pair of orange printed knitted straight palazzos
The model (height 5'8"") is wearing a size 28
Viscose Rayon  Machine-wash
Complete any casual look with these orange palazzos designed by Naari.  For a complete look, pair them with a flowy tee and lace-up sandals.",A pair of orange printed knitted straight palazzos,Clothing/Women/Palazzos/Naari/More by Naari,909,1399,Women,In Stock
L,Global Desi,Acrylic,Grey | Charcoal,Shrug,"Charcoal solid open front regular shrug, has long sleeves, straight hem
The model (height 5'8'') is wearing a size S
Acrylic   Hand-wash
This stylish shrug is just what you need to make heads turn. We suggest you team it with a top and a pair of denims to complete the look.","Charcoal solid open front regular shrug, has long sleeves, straight hem",Clothing/Women/Shrug/Global Desi/More by Global Desi,899,2999,Women,Out of Stock
XL,Biba,viscose,Black,High-Low Top,"Black woven top with sheer detail and gathers, has a round neck, short grown-on sleeves, and a flared hem with the curved back hem longer than the front hem
The model (height 5'8'') is wearing a size S
100% viscoseMachine-wash cold
Elevate your style quotient in this trendy top from BIBA. Team it up with trousers or jeans and heels or flats for a chic look.","Black woven top with sheer detail and gathers, has a round neck, short grown-on sleeves, and a flared hem with the curved back hem longer than the front hem",Clothing/Women/Tops/Biba/More by Biba,999,999,Women,In Stock
XL,RAJUBHAI HARGOVINDAS,Cotton,Rust | Orange,Straight Kurta,"Rust Orange solid straight kurta, has a mandarin collar, long sleeves, straight hem, side slits
The model (height 6') is wearing a size M
Cotton  Hand-wash
From RAJUBHAI HARGOVINDAS, this kurta is a great way to show off your style.  Achieve a comfortably chic look for your next dinner party or family outing when you team this rust piece with slim trousers and minimal flair.","Rust Orange solid straight kurta, has a mandarin collar, long sleeves, straight hem, side slits",Clothing/Men/Kurtas/RAJUBHAI HARGOVINDAS/More by RAJUBHAI HARGOVINDAS,1169,1799,Men,In Stock
S,Shree,Viscose Rayon,Beige | Red,Maxi Dress,"Beige and red colourblocked woven maxi dress with layer detail, has a round neck, three-quarter sleeves, asymmetric hem
Semi-Fit The model (height 5'8"") is wearing a size S
Viscose Rayon  Hand-wash
Stand out from the crowd with this beautiful and comfortable Shree dress.  Show up to your work event in style by pairing this colourblocked beige piece with caged heels and a cute blazer.","Beige and red colourblocked woven maxi dress with layer detail, has a round neck, three-quarter sleeves, asymmetric hem",Clothing/Women/Dresses/Shree/More by Shree,804,2299,Women,In Stock
Onesize,Dupatta Bazaar,Cotton,Beige,Dupatta,"Cream and beige embroidered dupatta, has a fringed border
Length: 2.5 metres Width: 1 metre
Cotton Blend   Hand-wash
Beautifully designed, this dupatta set from Dupatta Bazaar will let you flaunt your feminine side in a sartorial way. Team it up with matching jewellery and Kolhapuris or heels for a charming appeal.","Cream and beige embroidered dupatta, has a fringed border",Clothing/Women/Dupatta/Dupatta Bazaar/More by Dupatta Bazaar,629,899,Women,In Stock
M,Anouk,cotton,,,"Cream-Coloured printed woven A-line kurta, has a shirt collar, three-quarter sleeves, button closure, flared hem
Regular Fit  The model (height 5'8"") is wearing a size S
This breathable and stylish kurta from Anouk is a must-have item for any wardrobe. Dress up for your next family event by pairing piece with your best Kolhapuris and simple jewellery.
100% cotton Hand-wash","Cream-Coloured printed woven A-line kurta, has a shirt collar, three-quarter sleeves, button closure, flared hem",Clothing/Women/Kurtas/Anouk/More by Anouk,759,1899,Women,In Stock
XL,Biba,Polyester,Beige,A-Line Kurta,"Beige printed A-line kurta, has a round neck, three-quarter sleeves, high-low hem, side slits
The model (height 5'8"") is wearing a size S
Polyester  Machine-wash
This gorgeous kurta from Biba will help you maintain an elegant look all year long.  Look chic for the day with this beige kurta and leggings.","Beige printed A-line kurta, has a round neck, three-quarter sleeves, high-low hem, side slits",Clothing/Women/Kurtas/Biba/More by Biba,1104,1699,Women,In Stock
M,RARE ROOTS,Viscose Rayon,Black,Straight Kurta,"Black embroidered straight kurta, has a V-neck, three-quarter sleeves, high-low hem, side slits
The model (height 5'8"") is wearing a size S
This breathable and stylish kurta from RARE ROOTS is a must-have item for any wardrobe.  For your next dinner party or family gathering, this black piece pairs well with dark leggings and chic flats.
Viscose Rayon  Machine-wash","Black embroidered straight kurta, has a V-neck, three-quarter sleeves, high-low hem, side slits",Clothing/Women/Kurtas/RARE ROOTS/More by RARE ROOTS,719,1599,Women,In Stock
L,KISAH,Silk,Blue | White,Kurta with Churidar,"Blue and white solid kurta with churidarBlue straight calf length kurta, has a mandarin collar, long sleeves, straight hemWhite solid churidar, drawstring closureComes with a blue printed nehru jacket, has a mandarin collar, sleeveless
The model (height 6') is wearing a size M
This in-style kurta from KISAH is a must-have for any wardrobe.  You'll look dapper as ever in this blue piece paired with slim jeans and sandals, ideal for any nice family gathering.
Top fabric: Silk Blend Bottom fabric: Cotton Blend Dry-clean","Blue and white solid kurta with churidarBlue straight calf length kurta, has a mandarin collar, long sleeves, straight hemWhite solid churidar, drawstring closureComes with a blue printed nehru jacket, has a mandarin collar, sleeveless",Clothing/Men/Kurta Sets/KISAH/More by KISAH,4619,7699,Men,In Stock
M,Shree,Cotton,Blue | Navy,Straight Kurta,"Navy Blue and off-white printed straight kurta, has a mandarin collar, three-quarter sleeves, straight hem, multiple slits
The model (height 5'8"") is wearing a size S
Cotton Hand-wash
Keep it classy all year long with a stylish kurta from Shree.  Sport this navy blue piece with studded flats and minimal jewellery for a simple yet stunning evening ensemble.","Navy Blue and off-white printed straight kurta, has a mandarin collar, three-quarter sleeves, straight hem, multiple slits",Clothing/Women/Kurtas/Shree/More by Shree,539,1199,Women,In Stock
6-7Y,Tiber Taber,Cotton,Orange,Kurta with Pyjamas,"Orange embroidered kurta with pyjamasOrange straight above knee kurta, has a mandarin collar, long sleeves, straight hem, side slitsBeige solid pyjamas, drawstring closure
Let your child enjoy the ethinicity with these amazing kurta sets.
Top fabric: Pure Cotton Bottom fabric: Pure Cotton Hand-wash","Orange embroidered kurta with pyjamasOrange straight above knee kurta, has a mandarin collar, long sleeves, straight hem, side slitsBeige solid pyjamas, drawstring closure",Clothing/Boys/Kurta Sets/Tiber Taber/More by Tiber Taber,1492,1990,Boys,In Stock
XXL,Soch,Viscose Rayon,Red,Straight Kurta,"Cream-Coloured and red printed straight kurta, has a round neck, three-quarter sleeves, straight hem, side slits
The model (height 5'8"") is wearing a size S
This breathable and stylish kurta from Soch is a must-have item for any wardrobe.  For your next dinner party or family gathering, this cream-coloured piece pairs well with dark leggings and chic flats.
Viscose Rayon Dry-clean","Cream-Coloured and red printed straight kurta, has a round neck, three-quarter sleeves, straight hem, side slits",Clothing/Women/Kurtas/Soch/More by Soch,798,798,Women,Out of Stock
M,Anouk,cotton,Maroon | Grey,Straight Kurta,"Maroon and grey printed straight kurta, has a round neck, three-quarter sleeves, side slits, straight hem
The model (height 5'8"") is wearing a size S
Comfortable and stylish, this kurta from Anouk is ideal for any fashionista.  For your next dinner party or family gathering, this maroon piece pairs well with dark leggings and chic flats.
100% cottonHand-wash","Maroon and grey printed straight kurta, has a round neck, three-quarter sleeves, side slits, straight hem",Clothing/Women/Kurtas/Anouk/More by Anouk,759,1899,Women,Out of Stock
L,Global Desi,viscose,Red,A-Line Dress,"Red printed woven A-line dress, has a shirt collar, three-quarter sleeves, button closure, high-low flared hemComes with a fabric belt
Regular Fit The model (height 5'8"") is wearing a size S
Make a name for yourself this season when you wear this Global Desi dress.  For a semi-formal brunch look, pair this printed red piece with strappy heels and a cute clutch.
100% viscoseHand-wash","Red printed woven A-line dress, has a shirt collar, three-quarter sleeves, button closure, high-low flared hemComes with a fabric belt",Clothing/Women/Dresses/Global Desi/More by Global Desi,879,2199,Women,In Stock
S,MOHANLAL SONS,Polyester,,Straight Kurta,"Cream-Coloured striped straight kurta, has a mandarin collar, long sleeves, straight hem, side slits
The model (height 6') is wearing a size M
Complete your look with this kurta from MOHANLAL SONS.  You'll look dapper as ever in this cream-coloured piece paired with slim jeans and sandals, ideal for any nice family gathering.
80% Polyester & 20% SilkMachine-wash","Cream-Coloured striped straight kurta, has a mandarin collar, long sleeves, straight hem, side slits",Clothing/Men/Kurtas/MOHANLAL SONS/More by MOHANLAL SONS,822,1495,Men,Out of Stock
XL,Anouk,modal,,Cardigan,"Off-white floral patterned cardigan&nbsp;with sequin detail, has a round neck, a full button placket and&nbsp;long sleeves 
The model (height 5'8'') is wearing a size S
This top-notch cardigan by Anouk stands out because it's both comfortable and fashionable. Layer it over a top, a pair of jeans and casual shoes or heels&nbsp;to complete a winter ensemble.
100% modal Hand-wash","Off-white floral patterned cardigan&nbsp;with sequin detail, has a round neck, a full button placket and&nbsp;long sleeves ",Clothing/Women/Sweaters/Anouk/More by Anouk,2299,2299,Women,In Stock
3XL,La Firangi,Viscose Rayon,Red | Blue | Navy,A-Line Kurta,"Red and navy blue checked panelled A-line kurta, has a round neck, three-quarter sleeves, straight hem, no slits
The model (height 5'8"") is wearing a size S
You'll love the style, comfort and durability of this La Firangi kurta.  Dress up for your next family event by pairing this red piece with your best Kolhapuris and simple jewellery.
Viscose rayon  Hand-wash","Red and navy blue checked panelled A-line kurta, has a round neck, three-quarter sleeves, straight hem, no slits",Clothing/Women/Kurtas/La Firangi/More by La Firangi,764,1699,Women,Out of Stock
3-4Y,Pantaloons Junior,Cotton,Blue | White,Kurta with Pyjamas,"Blue self design kurta with pyjamas Blue straight above knee kurta, has a mandarin collar, long sleeves, straight hem, side slits White Solid pyjamas, has elasticated waistband, slip-on closure
Top fabric: 100% Cotton Bottom fabric: 100% Cotton Hand-wash
Pair this trendy pastel blue kurta pyjama with a tan flats. Add style with a brown shades.","Blue self design kurta with pyjamas Blue straight above knee kurta, has a mandarin collar, long sleeves, straight hem, side slits White Solid pyjamas, has elasticated waistband, slip-on closure",Clothing/Boys/Kurta Sets/Pantaloons Junior/More by Pantaloons Junior,468,699,Boys,Out of Stock
S,KISAH,Cotton,Pink,Kurta with Pyjamas,"Pink and cream-coloured self-design kurta with pyjamas &amp; Nehru jacket Pink straight knee length kurta, has a mandarin collar, long sleeves, straight hem, side slits Off-white coloured&nbsp;Nehru jacket with a Jacquard weave, has a mandarin collar, a full button placket, sleevelss, three welt pockets Cream-coloured solid pyjamas, drawstring closure.
The model (height 6') is wearing a size M
Sport this classic kurta from KISAH this season.  You'll look dapper as ever in this pink piece paired with slim jeans and sandals, ideal for any nice family gathering.
Jacket Fabric-Benarasi Jaquard CottonSilk, Kurta Fabric-Benarasi Jaquard Cotton Silk, Churidar Fabric-CottonSilk Dry-Clean","Pink and cream-coloured self-design kurta with pyjamas &amp; Nehru jacket Pink straight knee length kurta, has a mandarin collar, long sleeves, straight hem, side slits Off-white coloured&nbsp;Nehru jacket with a Jacquard weave, has a mandarin collar, a full button placket, sleevelss, three welt pockets Cream-coloured solid pyjamas, drawstring closure.",Clothing/Men/Kurta Sets/KISAH/More by KISAH,2399,5999,Men,In Stock
